Transaction ID,Date,Time,Item,Category,Price,Quantity,Total Spent,Payment Method,Customer Type
1000,2025-01-01,12:00,Scone,Bakery,3.75,1,3.75,Credit Card,New
1001,2025-01-01,09:22,Bagel,Bakery,3.0,2,6.0,Cash,New
1002,2025-01-01,10:18,Mocha,Coffee,5.0,2,10.0,Mobile Payment,Regular
1003,2025-01-01,13:18,Cold Brew,Coffee,4.75,1,4.75,Cash,Transient
1004,2025-01-01,08:52,Peppermint Tea,Tea,3.25,1,3.25,Cash,Regular
1005,2025-01-01,16:35,Earl Grey,Tea,3.25,1,3.25,Credit Card,New
1006,2025-01-01,16:53,Cappuccino,Coffee,4.5,1,4.5,Cash,Regular
1007,2025-01-01,16:04,Cappuccino,Coffee,4.5,2,9.0,Mobile Payment,Transient
1008,2025-01-01,15:16,Chai Latte,Tea,4.5,1,4.5,Credit Card,New
1009,2025-01-01,09:32,Blueberry Muffin,Bakery,3.5,1,3.5,Credit Card,Regular
1010,2025-01-01,08:29,Croissant,Bakery,3.75,1,3.75,Credit Card,New
1011,2025-01-01,07:06,Chai Latte,Tea,4.5,1,4.5,Cash,New
1012,2025-01-01,19:43,Macchiato,Coffee,3.75,2,7.5,Credit Card,Transient
1013,2025-01-01,14:03,Latte,Coffee,4.5,2,9.0,Credit Card,Transient
1014,2025-01-01,13:40,Cold Brew,Coffee,4.75,1,4.75,Credit Card,New
1015,2025-01-01,08:44,Peppermint Tea,Tea,3.25,1,3.25,Cash,New
1016,2025-01-01,14:52,Chocolate Chip Cookie,Bakery,2.5,1,2.5,Credit Card,Regular
1017,2025-01-01,18:34,Matcha Latte,Tea,5.25,1,5.25,Mobile Payment,Regular
1018,2025-01-01,15:17,Green Tea,Tea,3.25,1,3.25,Cash,New
1019,2025-01-01,11:08,Cold Brew,Coffee,4.75,1,4.75,Cash,Regular
1020,2025-01-01,09:18,Cappuccino,Coffee,4.5,1,4.5,Credit Card,Regular
1021,2025-01-01,10:43,Croissant,Bakery,3.75,1,3.75,Credit Card,Regular
1022,2025-01-01,07:31,Matcha Latte,Tea,5.25,1,5.25,Cash,Regular
1023,2025-01-01,18:30,Chai Latte,Tea,4.5,1,4.5,Credit Card,Transient
1024,2025-01-01,16:56,Blueberry Muffin,Bakery,3.5,1,3.5,Credit Card,Regular
1025,2025-01-01,19:54,Bagel,Bakery,3.0,1,3.0,Cash,Regular
1026,2025-01-01,07:49,Americano,Coffee,3.5,1,3.5,Cash,Regular
1027,2025-01-01,12:51,Scone,Bakery,3.75,2,7.5,Credit Card,Regular
1028,2025-01-01,13:50,Latte,Coffee,4.5,1,4.5,Credit Card,Regular
1029,2025-01-01,15:47,Bagel,Bakery,3.0,1,3.0,Credit Card,Regular
1030,2025-01-01,12:54,Peppermint Tea,Tea,3.25,2,6.5,Credit Card,Transient
1031,2025-01-01,12:57,Chai Latte,Tea,4.5,2,9.0,Cash,New
1032,2025-01-01,19:38,Matcha Latte,Tea,5.25,2,10.5,Cash,Regular
1033,2025-01-01,11:16,Latte,Coffee,4.5,1,4.5,Credit Card,Regular
1034,2025-01-01,17:24,Americano,Coffee,3.5,1,3.5,Credit Card,Transient
1035,2025-01-01,09:44,Cappuccino,Coffee,4.5,1,4.5,Credit Card,New
1036,2025-01-01,15:44,Grilled Cheese,Food,6.5,1,6.5,Credit Card,Regular
1037,2025-01-01,08:41,Chocolate Chip Cookie,Bakery,2.5,1,2.5,Credit Card,New
1038,2025-01-01,14:12,Americano,Coffee,3.5,1,3.5,Cash,Transient
1039,2025-01-01,08:07,Cappuccino,Coffee,4.5,1,4.5,Credit Card,Transient
1040,2025-01-01,16:57,Scone,Bakery,3.75,1,3.75,Mobile Payment,New
1041,2025-01-01,10:50,Avocado Toast,Food,8.5,1,8.5,Credit Card,Regular
1042,2025-01-01,16:39,Matcha Latte,Tea,5.25,3,15.75,Credit Card,New
1043,2025-01-01,12:25,Avocado Toast,Food,8.5,1,8.5,Credit Card,New
1044,2025-01-01,07:55,Earl Grey,Tea,3.25,1,3.25,Mobile Payment,Transient
1045,2025-01-01,12:33,Macchiato,Coffee,3.75,1,3.75,Cash,Regular
1046,2025-01-01,15:54,Scone,Bakery,3.75,1,3.75,Credit Card,Regular
1047,2025-01-01,11:26,Green Tea,Tea,3.25,1,3.25,Cash,Regular
1048,2025-01-01,14:55,Peppermint Tea,Tea,3.25,1,3.25,Credit Card,Regular
1049,2025-01-01,08:11,Cold Brew,Coffee,4.75,1,4.75,Credit Card,New
1050,2025-01-01,15:32,Earl Grey,Tea,3.25,1,3.25,Credit Card,Regular
1051,2025-01-01,11:18,Chocolate Chip Cookie,Bakery,2.5,1,2.5,Credit Card,Regular
1052,2025-01-01,11:56,Espresso,Coffee,3.0,1,3.0,Credit Card,New
1053,2025-01-01,09:15,Americano,Coffee,3.5,1,3.5,Credit Card,Regular
1054,2025-01-01,14:41,Americano,Coffee,3.5,1,3.5,Credit Card,Transient
1055,2025-01-01,15:42,Latte,Coffee,4.5,1,4.5,Credit Card,Regular
1056,2025-01-02,17:44,Peppermint Tea,Tea,3.25,1,3.25,Cash,Regular
1057,2025-01-02,12:19,Mocha,Coffee,5.0,1,5.0,Mobile Payment,Regular
1058,2025-01-02,10:06,Chai Latte,Tea,4.5,1,4.5,Mobile Payment,Regular
1059,2025-01-02,15:38,Green Tea,Tea,3.25,1,3.25,Mobile Payment,Regular
